area_type,availability,location,society,total_sqft,bath,balcony,price,house_size,house_type
Super built-up  Area,19-Dec,Electronic City Phase II,coomee ,1056.0,2,1,39.07,2,0
Plot  Area,Ready To Move,Chikka Tirupathi,theanmp,2600.0,5,3,120.0,4,1
Built-up  Area,Ready To Move,Uttarahalli,independent,1440.0,2,3,62.0,3,0
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1521.0,3,1,95.0,3,0
Super built-up  Area,Ready To Move,Kothanur,independent,1200.0,2,1,51.0,2,0
Super built-up  Area,Ready To Move,Whitefield,duenata,1170.0,2,1,38.0,2,0
Super built-up  Area,18-May,Old Airport Road,jaades ,2732.0,4,0,204.0,4,0
Super built-up  Area,Ready To Move,Marathahalli,independent,1310.0,3,1,63.25,3,0
Plot  Area,Ready To Move,Gandhi Bazar,independent,1020.0,6,0,370.0,6,1
Super built-up  Area,18-Feb,Whitefield,independent,1800.0,2,2,70.0,3,0
Plot  Area,Ready To Move,Whitefield,prrry m,2785.0,5,3,295.0,4,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,shncyes,1000.0,2,1,38.0,2,0
Built-up  Area,Ready To Move,Gottigere,independent,1100.0,2,2,40.0,2,0
Plot  Area,Ready To Move,Sarjapur,skityer,2250.0,3,2,149.0,3,1
Super built-up  Area,Ready To Move,Mysore Road,prntaen,1175.0,2,2,73.5,2,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1180.0,3,2,48.0,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1540.0,3,3,60.0,3,0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,pebayle,2770.0,4,2,290.0,3,0
Super built-up  Area,Ready To Move,Manayata Tech Park,independent,1100.0,2,2,48.0,2,0
Built-up  Area,Ready To Move,Kengeri,independent,600.0,1,1,15.0,1,0
Super built-up  Area,19-Dec,Binny Pete,she 2rk,1755.0,3,1,122.0,3,0
Plot  Area,Ready To Move,Thanisandra,soitya ,2800.0,5,2,380.0,4,1
Super built-up  Area,Ready To Move,Bellandur,independent,1767.0,3,1,103.0,3,0
Super built-up  Area,18-Nov, Thanisandra,bhe 2ko,510.0,1,0,27.62,1,2
Super built-up  Area,18-May,Mangammanapalya,independent,1250.0,3,2,56.0,3,0
Super built-up  Area,Ready To Move,Electronic City,itelaa ,660.0,1,1,23.1,2,0
Built-up  Area,20-Dec,Whitefield,independent,1610.0,3,2,81.0,3,0
Super built-up  Area,17-Oct,Ramagondanahalli,viistla,1151.0,2,2,48.77,2,0
Super built-up  Area,Ready To Move,Electronic City,kbityo ,1025.0,2,1,47.0,3,0
Super built-up  Area,19-Dec,Yelahanka,ledorsa,2475.0,4,0,186.0,4,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075.0,2,1,35.0,3,0
Super built-up  Area,Ready To Move,Hebbal,mahosya,1760.0,2,2,123.0,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1693.0,3,3,57.39,3,0
Built-up  Area,Ready To Move,Kasturi Nagar,kantsce,1925.0,3,0,125.0,3,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,700.0,2,1,36.0,2,0
Super built-up  Area,Ready To Move,Electronics City Phase 1,independent,1070.0,2,1,45.5,2,0
Super built-up  Area,Ready To Move,Kundalahalli,dieldli,1724.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Chikkalasandra,independent,1290.0,2,2,56.12,3,0
Built-up  Area,Ready To Move,Uttarahalli,independent,1143.0,2,2,45.0,2,0
Built-up  Area,Ready To Move,Murugeshpalya,gentson,1296.0,2,0,81.0,2,0
Super built-up  Area,19-Dec,Sarjapur  Road,soini t,1254.0,3,2,38.0,3,0
