price,area_type,availability,location,society,total_sqft,bath,balcony,house_size,house_type
39.07,0.0,0,47.021068878631674,87.02158772830788,1056.0,2,1,2,0
120.0,2.0,1,101.19733598626138,101.58601452323956,2600.0,5,3,4,1
62.0,1.0,1,61.66559330862947,100.94722946410097,1440.0,2,3,3,0
95.0,0.0,1,106.44722980113586,106.78321359949007,1521.0,3,1,3,0
51.0,0.0,1,87.74363259526758,100.94722946410097,1200.0,2,1,2,0
38.0,0.0,1,99.35344969199178,87.08980088119449,1170.0,2,1,2,0
204.0,0.0,0,141.9060684948822,135.6386093442618,2732.0,4,0,4,0
63.25,0.0,1,98.59446273052893,100.94722946410097,1310.0,3,1,3,0
370.0,2.0,1,115.08105701083377,100.94722946410097,1020.0,6,0,6,1
70.0,0.0,0,99.35344969199178,100.94722946410097,1800.0,2,2,3,0
295.0,2.0,1,99.35344969199178,138.92118311815008,2785.0,5,3,4,1
38.0,0.0,1,99.80810830551658,87.06547169298744,1000.0,2,1,2,0
40.0,1.0,1,62.543713313789155,100.94722946410097,1100.0,2,2,2,0
149.0,2.0,1,86.8353073815517,101.53184153548726,2250.0,3,2,3,1
73.5,0.0,1,65.1793747602867,94.1492100008752,1175.0,2,2,2,0
48.0,0.0,1,46.62953205277612,47.02440119803197,1180.0,3,2,3,0
60.0,0.0,1,59.97378917641082,48.62228596587294,1540.0,3,3,3,0
290.0,0.0,1,125.36560857716593,127.98729037388293,2770.0,4,2,3,0
48.0,0.0,1,91.52543842183655,100.94722946410097,1100.0,2,2,2,0
15.0,1.0,1,53.35151306688992,100.94722946410097,600.0,1,1,1,0
122.0,0.0,0,121.61879730845442,103.99992917716185,1755.0,3,1,3,0
380.0,2.0,1,83.14728071220567,125.57372447756605,2800.0,5,2,4,1
103.0,0.0,1,88.28353474548244,100.94722946410097,1767.0,3,1,3,0
27.62,0.0,0,84.00948475194974,74.6247300768983,510.0,1,0,1,2
56.0,0.0,0,87.85206566301115,100.94722946410097,1250.0,3,2,3,0
23.1,0.0,1,53.07975694453937,51.33921086008138,660.0,1,1,2,0
81.0,1.0,0,99.35344969199178,100.94722946410097,1610.0,3,2,3,0
48.77,0.0,0,82.30213237812312,69.57950907216357,1151.0,2,2,2,0
47.0,0.0,1,53.07975694453937,84.91054482916881,1025.0,2,1,3,0
186.0,0.0,0,78.7269609446468,109.88315437172045,2475.0,4,0,4,0
35.0,0.0,1,46.62953205277612,47.02440119803197,1075.0,2,1,3,0
123.0,0.0,1,145.15368535249686,102.35983116817803,1760.0,2,2,3,0
57.39,0.0,1,59.97378917641082,48.62228596587294,1693.0,3,3,3,0
125.0,1.0,1,107.8907682606995,98.40923815077531,1925.0,3,0,3,0
36.0,0.0,0,71.41825911249964,47.64279981558751,700.0,2,1,2,0
45.5,0.0,1,55.14557453153458,100.94722946410097,1070.0,2,1,2,0
125.0,0.0,1,110.57862857730404,101.39213565319326,1724.0,3,2,3,0
56.12,0.0,1,78.2631234503649,100.94722946410097,1290.0,2,2,3,0
45.0,1.0,1,61.66559330862947,100.94722946410097,1143.0,2,2,2,0
81.0,1.0,1,97.31621627521517,92.6844652788034,1296.0,2,0,2,0
38.0,0.0,0,102.6917127071823,86.90305222367638,1254.0,3,2,3,0
38.0,0.0,1,86.8662091045222,87.08980088119449,600.0,1,0,1,0
48.0,2.0,1,78.7269609446468,100.94722946410097,660.0,1,0,1,1
91.79,0.0,0,71.41825911249964,100.7000501928602,1330.74,2,2,2,0
33.0,0.0,1,58.80762257853033,86.4392585093795,970.0,2,0,2,0
94.82,0.0,0,99.35344969199178,97.96683952292517,1459.0,2,1,2,0
130.0,2.0,1,72.11196712255736,100.94722946410097,800.0,1,1,2,1
36.0,1.0,1,99.97758897206862,100.94722946410097,869.0,2,1,2,0
50.0,0.0,1,88.65110257355047,88.65110257355047,1270.0,2,1,2,0
99.0,0.0,0,100.84448670408342,91.2952082068841,1670.0,3,1,3,0
91.0,1.0,1,99.35344969199178,93.12962888669858,2010.0,3,2,3,0
75.0,0.0,1,96.68419721597144,99.31564258795758,1185.0,2,2,2,0
75.0,0.0,1,78.7269609446468,91.79967704784397,1600.0,2,3,3,0
44.0,0.0,1,60.075579387345826,55.39289892606819,1200.0,2,2,2,0
192.0,1.0,0,77.96066552188663,107.12650593309615,3210.0,5,0,4,1
185.0,0.0,1,125.36560857716593,127.98729037388293,1500.0,2,2,2,0
150.0,2.0,1,97.31621627521517,100.94722946410097,1407.0,4,1,6,1
45.0,0.0,1,110.47089740156792,100.94722946410097,840.0,2,2,2,0
55.0,0.0,1,86.8662091045222,89.30164494536545,845.0,2,1,2,0
44.0,1.0,1,66.21709736638242,87.34917382278842,1160.0,2,2,2,0
62.0,0.0,1,58.80762257853033,100.94722946410097,1100.0,2,1,2,0
43.0,0.0,0,76.46879730845443,86.52190846977165,1140.0,2,3,2,0
57.0,0.0,1,98.59446273052893,100.94722946410097,1220.0,2,1,2,0
36.68,0.0,1,71.41825911249964,100.94722946410097,1005.0,2,1,2,0
100.0,2.0,1,95.15652629170036,100.94722946410097,500.0,3,2,3,1
80.58,0.0,0,60.075579387345826,94.36168949046856,1358.0,2,1,2,0
101.0,0.0,1,134.77491058056322,97.1991077014645,1569.0,3,1,3,0
70.0,0.0,0,93.8478011183212,101.53677815850097,1240.0,2,1,2,0
140.0,0.0,1,98.25580902418498,100.36086526622027,2089.0,3,2,3,0
48.23,0.0,1,71.50919835523115,100.94722946410097,1206.0,2,1,2,0
40.0,0.0,1,77.9710158079329,100.94722946410097,1150.0,2,3,2,0
205.0,1.0,1,97.34683036354534,108.81791609981514,2511.0,3,3,3,0
22.0,1.0,1,76.37489430266771,100.94722946410097,460.0,1,0,2,0
105.0,0.0,1,95.80706866351535,95.80706866351535,1660.0,2,2,3,0
224.5,1.0,0,98.25580902418498,119.56893342683028,3203.5,5,0,4,1
78.0,0.0,0,78.7269609446468,96.60291563731687,1326.0,2,2,2,0
60.8,0.0,1,81.79965582425378,100.94722946410097,1325.0,2,2,3,0
102.0,0.0,1,117.65710088029138,95.50561005456646,1499.0,5,2,3,0
88.0,0.0,1,71.41825911249964,100.94722946410097,1665.0,3,2,3,0
37.0,0.0,0,76.56206962716563,77.00346402960889,708.0,2,2,2,0
58.06,0.0,1,89.97365043752781,88.17026410908322,1060.0,2,2,2,0
160.0,2.0,1,241.0010085115458,100.94722946410097,710.0,6,3,6,1
70.0,1.0,1,110.39604730845443,91.25327206081043,1000.0,2,2,2,0
28.88,0.0,0,53.07975694453937,100.94722946410097,1000.0,2,1,2,0
70.0,0.0,1,84.763560916161,100.94722946410097,1450.0,2,2,3,0
155.0,2.0,1,97.74952610353506,100.94722946410097,1200.0,4,2,4,1
80.0,0.0,0,83.14728071220567,81.91562182207048,1296.0,2,3,2,0
90.0,0.0,1,119.92923412247808,100.94722946410097,1540.0,3,2,3,0
245.0,2.0,1,53.35151306688992,114.02225507433505,2894.0,4,1,4,1
48.0,0.0,1,87.7542063257838,100.94722946410097,1330.0,2,1,3,0
65.0,1.0,1,86.53288293808114,100.94722946410097,1200.0,2,1,2,0
90.0,1.0,1,97.60912157412109,100.94722946410097,1200.0,3,1,3,1
138.0,0.0,1,96.07410667481477,79.4683028283705,2502.0,3,3,3,0
17.0,1.0,1,33.62335013496527,79.54338033381771,650.0,1,1,2,0
150.0,2.0,1,87.74363259526758,101.66195000985026,2400.0,2,1,3,1
43.0,0.0,1,83.23356918658689,84.79417208263227,1007.0,2,2,2,0
50.0,0.0,1,98.76451249554218,87.9875036148406,1200.0,2,2,2,0
49.9,0.0,1,89.88158812021783,100.94722946410097,966.0,2,2,2,0
98.0,1.0,1,116.79376505268282,100.94722946410097,1630.0,2,1,3,0
229.0,1.0,1,241.0010085115458,155.9045430224491,1640.0,3,2,3,0
55.68,1.0,1,83.09626841295328,100.94722946410097,782.0,2,2,2,0
66.78,0.0,0,77.96066552188663,90.86310856370618,1260.0,2,2,2,0
120.0,0.0,1,108.3431314280606,100.94722946410097,1800.0,3,3,3,0
75.0,0.0,1,96.05287520161089,100.54132285853377,1413.0,2,2,3,0
51.91,0.0,1,99.35344969199178,86.52956879756192,1116.0,2,1,2,0
45.9,0.0,1,53.07975694453937,82.44988384027165,1530.0,2,1,3,0
225.0,1.0,1,82.02499916262141,100.94722946410097,3700.0,4,1,4,1
140.0,1.0,1,102.6917127071823,97.81935448240611,2497.0,3,2,3,1
64.0,0.0,1,53.35151306688992,87.93421389675817,1540.0,2,3,3,0
74.75,0.0,0,83.14728071220567,100.94722946410097,1436.0,3,1,3,0
75.0,0.0,0,195.14005396237815,100.94722946410097,1100.0,2,2,2,0
23.0,2.0,1,98.25580902418498,100.94722946410097,276.0,3,3,2,1
120.0,0.0,1,83.14728071220567,93.00893848186232,1427.0,3,2,3,0
225.0,0.0,1,85.90202186458262,109.45145856385875,2061.0,3,1,3,0
150.0,1.0,1,87.19338278494084,100.94722946410097,2650.0,4,2,4,0
68.52,0.0,0,77.96066552188663,83.44773346280493,1282.0,2,2,3,0
34.0,1.0,1,92.74848224451219,100.94722946410097,1050.0,2,1,2,0
65.0,1.0,1,84.71467773356224,90.60272968899544,1600.0,3,2,3,0
54.0,0.0,0,91.06248798883459,100.94722946410097,945.0,2,1,2,0
78.0,0.0,1,65.93192731122207,94.00493205550528,1500.0,2,1,2,0
110.0,1.0,1,89.88158812021783,96.45761103533034,1870.0,3,3,3,0
75.0,2.0,1,86.8353073815517,91.88840789960402,1600.0,3,1,3,1
16.5,0.0,1,53.07975694453937,51.33921086008138,880.0,1,1,2,0
210.0,2.0,1,109.46845847163013,100.94722946410097,1200.0,4,0,4,1
83.0,0.0,1,84.00285032922189,92.34658876821543,1535.0,3,2,3,0
57.0,1.0,1,71.41825911249964,84.02882453950286,950.0,2,1,2,0
65.0,0.0,0,77.96066552188663,90.2571206532484,1360.0,2,1,2,0
54.01,0.0,0,76.48963355795541,90.30023494214684,1073.5,2,0,2,0
50.4,0.0,0,58.799724782679604,100.94722946410097,1280.0,3,1,3,0
85.05,0.0,0,101.6553725839608,93.1012345045032,1260.0,2,2,3,0
213.0,0.0,0,78.7269609446468,109.88315437172045,3050.0,5,1,5,0
105.0,0.0,1,89.97365043752781,94.79635473006402,1563.05,3,1,3,0
60.0,0.0,1,97.74952610353506,100.94722946410097,1000.0,2,1,2,0
43.76,0.0,0,68.70580833946846,82.0591501389549,1167.0,2,1,2,0
110.0,0.0,1,87.74363259526758,100.05944181814493,1828.0,3,0,3,0
35.0,0.0,1,54.30061510601152,86.6994754581055,890.0,2,1,2,0
46.74,0.0,1,86.83521189506745,86.68602009437863,1612.0,3,3,3,0
185.0,2.0,1,97.7120984175101,100.94722946410097,1034.0,5,0,6,1
91.31,0.0,0,65.1793747602867,85.63445739464763,1710.0,4,2,3,0
58.0,0.0,1,92.48618446775403,86.69772969761566,957.0,2,1,2,0
44.0,0.0,0,83.19308905192901,100.94722946410097,1250.0,2,3,3,0
235.0,0.0,1,115.8875112756727,115.8875112756727,2795.0,4,0,3,0
50.0,0.0,1,86.25227368325044,88.65110257355047,1125.0,2,2,2,0
30.6,0.0,0,47.021068878631674,35.68535809484176,1020.0,2,1,2,0
50.0,0.0,1,77.9710158079329,100.94722946410097,1200.0,2,2,2,0
135.0,0.0,1,83.14728071220567,125.57372447756605,1735.0,3,3,3,0
145.0,0.0,1,83.14728071220567,111.01367681830261,2050.0,3,1,3,0
48.0,1.0,1,87.2853408435832,100.94722946410097,1350.0,2,3,3,0
32.0,0.0,0,70.92595455446525,81.17819692384391,1063.0,2,1,2,0
150.0,0.0,1,105.10899591866841,105.10899591866841,1904.0,3,1,3,0
175.0,0.0,1,94.49920994913043,104.91466186892521,2000.0,3,1,3,0
43.49,0.0,0,86.8353073815517,89.83724150114297,1242.5,2,0,2,0
75.0,0.0,1,88.31322794105391,92.03025896450451,1425.0,2,2,3,0
64.5,0.0,1,53.07975694453937,56.062733276442884,1500.0,2,1,3,0
60.0,1.0,1,53.07975694453937,56.062733276442884,1060.0,2,1,2,0
70.0,1.0,1,89.90249299099719,91.25327206081043,1470.0,2,2,3,0
99.0,0.0,1,95.36937523040983,100.94722946410097,1300.0,6,0,6,0
11.0,0.0,1,52.13862003128564,69.10210198574173,450.0,1,1,1,0
64.5,0.0,0,53.07975694453937,71.90743433564853,1152.0,2,1,2,0
56.0,0.0,1,53.07975694453937,56.062733276442884,1350.0,2,1,3,0
65.0,0.0,1,81.07007750735403,89.11353199452668,1550.0,3,3,3,0
100.0,2.0,1,95.15652629170036,100.94722946410097,1500.0,3,2,3,1
85.0,2.0,1,98.351745862966,100.94722946410097,600.0,3,2,5,1
14.0,2.0,1,100.63683265362005,100.94722946410097,400.0,1,0,1,1
67.0,0.0,1,195.14005396237815,90.86294663772144,705.0,1,2,1,0
36.0,1.0,1,53.07975694453937,56.062733276442884,770.0,1,1,2,0
51.0,0.0,1,86.25227368325044,88.78121104791347,1242.0,2,3,2,0
155.0,0.0,1,175.29548779868858,115.19902132307985,1700.0,3,2,3,0
145.0,0.0,1,83.14728071220567,125.57372447756605,2144.0,3,2,3,0
110.0,0.0,0,113.2645538021266,90.69526361632765,1704.0,3,2,3,0
52.0,0.0,1,53.07975694453937,56.062733276442884,1070.0,2,1,2,0
300.0,2.0,1,118.35663196760729,100.94722946410097,1846.0,3,2,3,1
55.7,0.0,1,89.09808546801833,100.94722946410097,1340.0,2,2,2,0
46.0,1.0,1,53.07975694453937,56.062733276442884,1025.0,2,1,2,0
56.8,0.0,1,72.11196712255736,88.96524534004648,1277.5,2,0,2,0
52.0,0.0,1,98.59446273052893,88.41305680954207,1200.0,2,2,2,0
110.0,1.0,0,71.41825911249964,100.94722946410097,2250.0,4,1,4,1
80.0,0.0,1,84.6279473886074,92.17574967212657,1550.0,2,3,3,0
325.0,2.0,1,88.28353474548244,100.94722946410097,1200.0,5,0,4,1
60.0,0.0,1,98.59446273052893,89.88585831994435,1200.0,2,2,2,0
98.0,0.0,1,78.7269609446468,93.34433169099374,1327.0,2,2,2,0
58.0,0.0,1,87.74363259526758,100.94722946410097,1186.0,2,2,2,0
115.0,1.0,1,93.85207906141362,100.94722946410097,1783.0,3,1,3,1
56.0,0.0,1,98.04304209266267,86.0346656445155,1400.0,3,2,3,0
48.0,0.0,1,95.54732030854112,100.94722946410097,980.0,2,1,2,0
82.0,0.0,1,117.65710088029138,100.94722946410097,1285.0,2,2,2,0
70.0,0.0,1,99.66865844190156,100.94722946410097,912.0,2,1,3,0
47.6,1.0,1,99.35344969199178,88.48435368544457,1225.0,2,2,2,0
53.0,0.0,1,99.35344969199178,100.94722946410097,1075.0,2,1,2,0
54.0,1.0,1,92.74848224451219,88.13525198233096,1260.0,2,2,3,0
48.7,0.0,1,78.7269609446468,80.85798231750657,1282.0,2,2,3,0
88.0,0.0,1,89.1908383234414,93.59522459934439,1909.0,3,2,3,0
87.0,0.0,1,74.70581176549366,94.43402877820546,1359.0,2,1,2,0
43.5,1.0,1,86.92855071116664,100.94722946410097,1207.0,2,2,2,0
190.0,2.0,1,110.18723937968741,100.94722946410097,1736.0,6,0,4,1
428.0,0.0,0,137.19178033625042,100.94722946410097,2850.0,4,1,4,0
65.0,0.0,1,54.35045950707336,90.60272968899544,1595.0,3,2,3,0
89.0,1.0,0,93.11277596820213,100.94722946410097,1798.0,3,2,3,0
78.29,0.0,1,55.14557453153458,91.84818552313773,1475.0,3,2,3,0
100.0,0.0,1,93.85556582078733,95.15652629170036,1580.0,3,3,3,0
65.0,0.0,1,88.16902577756323,89.02644423493975,1295.0,2,1,2,0
141.0,1.0,1,77.32708250577525,100.94722946410097,3600.0,6,0,6,1
27.0,0.0,1,53.07975694453937,78.87864888983334,589.0,1,1,1,0
78.0,0.0,1,92.8104398214572,100.94722946410097,1415.0,3,3,3,0
98.29,0.0,0,102.6917127071823,98.22882438281869,1787.0,3,2,3,0
125.0,0.0,1,102.6917127071823,98.22882438281869,1787.0,3,2,3,0
90.0,0.0,1,168.63795504568708,93.85544154807039,1475.0,2,3,3,0
75.5,1.0,1,91.96886866980691,100.94722946410097,2000.0,4,1,4,0
44.28,0.0,0,102.6917127071823,77.17353779411424,984.0,2,1,2,0
74.82,0.0,0,77.96066552188663,89.63292797709136,1630.0,3,0,3,0
260.0,0.0,1,125.01063155386791,125.01063155386791,2405.0,4,2,3,0
72.0,1.0,1,99.80810830551658,88.05324782902467,1080.0,2,2,2,0
115.0,2.0,1,98.76451249554218,100.94722946410097,1500.0,2,1,2,1
119.0,0.0,1,145.15368535249686,100.94722946410097,1900.0,3,2,3,0
22.14,0.0,0,76.71211615083543,100.94722946410097,805.0,2,1,2,0
56.4,0.0,1,70.48790494808637,71.6414642967342,1153.0,2,2,2,0
60.0,0.0,1,92.92875692187376,92.92875692187376,1148.0,2,2,2,0
55.0,0.0,1,88.90757830774862,87.84565254994013,1110.0,2,2,2,0
42.0,1.0,1,53.07975694453937,87.61023477864649,1100.0,2,2,2,0
110.0,0.0,1,94.18563153641608,96.45761103533034,1290.0,2,2,2,0
