iter	RMSE
0	630.3440742
1	624.9367879
2	619.6315819
3	615.0687194
4	610.4254379
5	606.6003642
6	602.7701338
7	599.3772544
8	596.0887371
9	593.1189308
10	590.272415
11	587.8258404
12	585.6609646
13	583.4357374
14	581.4496846
15	579.6280537
16	577.9708361
17	576.4424119
18	574.9628232
19	573.4469215
20	571.921307
21	570.7840337
22	569.388431
23	568.2521124
24	567.1721195
25	566.3420398
26	565.3331449
27	564.3770549
28	563.6936023
29	563.1292116
30	562.2742456
31	561.5451037
32	560.8573306
33	560.1961689
34	559.7112676
35	559.1579285
36	558.3733936
37	557.6613218
38	557.0523642
39	556.5705035
40	556.0425093
41	555.5552311
42	554.9557326
43	554.4654239
44	554.1176989
45	553.6421356
46	553.2400785
47	552.9226668
48	552.385422
49	551.9722507
50	551.4103481
51	550.9440755
52	550.6076375
53	550.3491743
54	550.0932106
55	549.7673127
56	549.3524495
57	549.0099765
58	548.5972282
59	548.1529914
60	547.8153079
61	547.5666337
62	547.2791018
63	546.9097106
64	546.4964565
65	546.1663008
66	545.8900648
67	545.5663219
68	545.3189721
69	544.9912397
70	544.8340662
71	544.4870384
72	544.0964178
73	543.7064451
74	543.4776012
75	543.3205396
76	543.0801995
77	542.7647627
78	542.4973094
79	542.2501548
80	541.9977454
81	541.8071044
82	541.4649044
83	541.1701072
84	540.9402717
85	540.4829671
86	540.1540014
87	539.9949967
88	539.9627243
89	539.8291639
90	539.5288326
91	539.3369229
92	538.9605721
93	538.7721836
94	538.5757991
95	538.3328946
96	538.1242119
97	537.9495018
98	537.8160072
99	537.515464
100	537.3615361
101	537.0737923
102	536.8470055
103	536.7225151
104	536.5041092
105	536.3767526
106	536.138848
107	535.8896409
108	535.8020834
109	535.6551313
110	535.4805484
111	535.1993221
112	534.8912871
113	534.6359934
114	534.3650282
115	534.1836878
116	534.0101933
117	533.7237296
118	533.5404175
119	533.33374
120	533.1507973
121	532.9002073
122	532.8845262
123	532.7741042
124	532.585214
125	532.4111322
126	532.1580781
127	531.9900319
128	531.818265
129	531.6552072
130	531.62781
131	531.4335874
132	531.255402
133	531.1378349
134	530.9232774
135	530.839911
136	530.7430654
137	530.5226708
138	530.3356239
139	530.1541878
140	530.0455356
141	529.8030959
142	529.6731645
143	529.5161172
144	529.3443509
145	529.01643
146	528.8409961
147	528.6568669
148	528.4514176
149	528.1781177
150	528.0295518
151	527.8266513
152	527.5609204
153	527.3438526
154	526.9682476
155	526.7663596
156	526.6843123
157	526.5138358
158	526.3251084
159	526.2848824
160	525.853412
161	525.6631028
162	525.4831807
163	525.2503336
164	525.1354886
165	524.8816825
166	524.6527373
167	524.4524582
168	524.2197969
169	523.8752048
170	523.6513741
171	523.4714134
172	523.1942496
173	522.959202
174	522.7599091
175	522.666923
176	522.486795
177	522.1740417
178	521.9341413
179	521.7693877
180	521.6898843
181	521.5451473
182	521.4300275
183	521.1687005
184	520.867961
185	520.5829056
186	520.363109
187	520.2300363
188	520.0773929
189	519.9989013
190	519.773699
191	519.6297727
192	519.4359731
193	519.2086289
194	519.1529293
195	519.0429114
196	518.7133419
197	518.4313233
198	518.2061259
199	518.0544979
200	517.8752424
201	517.7151826
202	517.623645
203	517.3493905
204	517.1004401
205	516.9331362
206	516.809934
207	516.5618693
208	516.3741678
209	516.1285764
210	515.8034156
211	515.5864158
212	515.3280924
213	515.2492308
214	515.1038874
215	515.0211755
216	514.8497024
217	514.7488452
218	514.5411338
219	514.3940795
220	514.3009767
221	514.0093933
222	513.8830699
223	513.6359284
224	513.433748
225	513.3636431
226	513.1918391
227	513.0954144
228	512.9209425
229	512.5914784
230	512.463062
231	512.3265061
232	512.0643397
233	511.8690817
234	511.7630734
235	511.5564881
236	511.3828868
237	511.1719222
238	511.0882568
239	510.8554033
240	510.7019303
241	510.6018532
242	510.2067689
243	510.0775782
244	509.8831635
245	509.6172771
246	509.4308497
247	509.3464974
248	509.2302463
249	509.1033599
250	508.9078905
251	508.8450248
252	508.6729409
253	508.6103504
254	508.3195747
255	508.2108939
256	508.0955061
257	507.9205251
258	507.667004
259	507.4867379
260	507.4261536
261	507.3121304
262	507.1113381
263	506.8824655
264	506.8369955
265	506.6440534
266	506.4386427
267	506.2740754
268	506.0270249
269	505.9192208
270	505.7160368
271	505.545323
272	505.3972386
273	505.3086932
274	505.1828029
275	504.8782229
276	504.6654536
277	504.4805862
278	504.2677789
279	504.0548202
280	503.9063112
281	503.738258
282	503.5626957
283	503.4261771
284	503.3059979
285	503.1646813
286	502.9661652
287	502.6943831
288	502.508829
289	502.2079155
290	502.0541654
291	501.9126118
292	501.6881261
293	501.6349084
294	501.4073972
295	501.1867484
296	500.997138
297	500.9092105
298	500.7242973
299	500.5868505
300	500.504731
301	500.3595009
302	500.0487073
303	499.9520881
304	499.7849436
305	499.5881835
306	499.5218983
307	499.2001064
308	499.0044829
309	498.806127
310	498.6833349
311	498.4975719
312	498.3074947
313	498.0806532
314	497.9439187
315	497.7477599
316	497.5982616
317	497.4857493
318	497.2791081
319	497.1688347
320	497.0189436
321	496.8793244
322	496.8258263
323	496.6196814
324	496.4942908
325	496.3223244
326	496.1554036
327	496.1505586
328	496.1451475
329	495.9967491
330	495.8546513
331	495.6747249
332	495.4781822
333	495.3083108
334	495.1877245
335	495.0779241
336	494.8399365
337	494.7184607
338	494.6822345
339	494.5309568
340	494.5107597
341	494.4129654
342	494.2949353
343	494.0032877
344	493.710025
345	493.5558507
346	493.4407627
347	493.390789
348	493.2256333
349	493.1226196
350	492.9419785
351	492.8312898
352	492.6967018
353	492.5502551
354	492.423133
355	492.2903364
356	492.1715466
357	492.095421
358	491.9231319
359	491.8134676
360	491.7074867
361	491.4827724
362	491.2704638
363	491.1222618
364	491.0242434
365	490.8250009
366	490.680916
367	490.530838
368	490.3170834
369	490.3028583
370	490.1683467
371	490.0239691
372	489.9068084
373	489.7877012
374	489.6244142
375	489.4117179
376	489.2604636
377	489.0822886
378	488.8858155
379	488.7855134
380	488.5884265
381	488.4843799
382	488.2678822
383	488.0165052
384	487.8009988
385	487.7277425
386	487.6088562
387	487.4809339
388	487.3184383
389	487.1983559
390	487.0424037
391	486.9068463
392	486.7821819
393	486.6705618
394	486.5477889
395	486.4922962
396	486.3314048
397	486.2305625
398	486.0410336
399	485.9476831
400	485.8066585
401	485.6680611
402	485.426802
403	485.1616614
404	485.0698644
405	485.0657562
406	484.8968131
407	484.7274705
408	484.6976842
409	484.6943411
410	484.5413818
411	484.4681188
412	484.3612383
413	484.2452805
414	484.1766862
415	483.985952
416	483.8755433
417	483.8060466
418	483.5689177
419	483.4728684
420	483.4165618
421	483.2492292
422	483.1034154
423	482.9883178
424	482.878237
425	482.7196201
426	482.7157799
427	482.587001
428	482.5728227
429	482.4716105
430	482.2828247
431	482.2499707
432	482.0572273
433	481.9321491
434	481.8167839
435	481.6828273
436	481.6053562
437	481.4825877
438	481.4091422
439	481.258758
440	481.0139448
441	480.7891855
442	480.5551408
443	480.434284
444	480.4308676
445	480.2371261
446	480.0641154
447	479.9412258
448	479.8186934
449	479.6541083
450	479.5629332
451	479.4404416
452	479.328343
453	479.21918
454	479.0850406
455	478.9725805
456	478.826642
457	478.7424059
458	478.6107146
459	478.4853812
460	478.3044131
461	478.1570699
462	477.9374613
463	477.7838267
464	477.5445466
465	477.3631468
466	477.3036202
467	477.1598042
468	477.0071483
469	476.8421866
470	476.6863527
471	476.52022
472	476.5165591
473	476.4998786
474	476.2644636
475	476.1188924
476	475.8816622
477	475.7884729
478	475.6259413
479	475.5052448
480	475.4156539
481	475.2781438
482	475.1863649
483	475.0271067
484	474.8598107
485	474.6453968
486	474.5061162
487	474.3522207
488	474.2448899
489	474.0776236
490	473.9653858
491	473.8827217
492	473.7867974
493	473.5754755
494	473.4676542
495	473.313983
496	473.2551589
497	473.1223682
498	473.1198775
499	473.0362775
500	472.8619681
501	472.76885
502	472.6576974
503	472.5812053
504	472.514988
505	472.456198
506	472.3356571
