iter	Passed	Remaining
0	11	11031
1	18	9011
2	25	8527
3	33	8231
4	43	8716
5	54	9080
6	65	9360
7	72	9021
8	79	8749
9	91	9069
10	100	9076
11	111	9153
12	117	8924
13	124	8734
14	130	8588
15	138	8526
16	150	8727
17	159	8691
18	165	8541
19	172	8435
20	179	8362
21	190	8454
22	196	8349
23	201	8209
24	210	8214
25	219	8214
26	229	8275
27	236	8209
28	246	8253
29	253	8184
30	261	8183
31	272	8233
32	280	8209
33	287	8182
34	292	8077
35	300	8044
36	310	8082
37	320	8115
38	325	8014
39	335	8045
40	343	8043
41	352	8045
42	362	8076
43	369	8023
44	377	8013
45	387	8037
46	394	7995
47	403	7993
48	409	7948
49	418	7948
50	426	7932
51	434	7918
52	442	7897
53	453	7937
54	460	7908
55	468	7898
56	475	7869
57	483	7850
58	488	7792
59	498	7813
60	505	7781
61	513	7771
62	519	7723
63	526	7698
64	532	7662
65	541	7662
66	549	7645
67	556	7628
68	565	7625
69	578	7688
70	585	7660
71	593	7651
72	603	7657
73	607	7605
74	615	7595
75	623	7578
76	632	7580
77	640	7565
78	646	7541
79	657	7556
80	664	7538
81	673	7536
82	682	7539
83	692	7554
84	699	7527
85	704	7489
86	712	7474
87	721	7474
88	725	7426
89	736	7444
90	744	7436
91	753	7439
92	764	7457
93	771	7436
94	778	7420
95	786	7401
96	794	7400
97	802	7384
98	809	7365
99	818	7363
100	825	7349
101	832	7327
102	838	7300
103	846	7291
104	852	7269
105	860	7253
106	867	7239
107	874	7223
108	882	7212
109	889	7195
110	894	7167
111	901	7150
112	908	7128
113	915	7112
114	922	7095
115	928	7075
116	934	7054
117	942	7044
118	947	7018
119	954	7002
120	961	6982
121	968	6969
122	972	6933
123	979	6921
124	985	6896
125	990	6867
126	995	6846
127	1001	6821
128	1007	6805
129	1013	6783
130	1017	6746
131	1024	6736
132	1029	6711
133	1035	6694
134	1044	6690
135	1050	6676
136	1056	6655
137	1062	6638
138	1068	6618
139	1074	6599
140	1079	6579
141	1086	6563
142	1092	6549
143	1100	6543
144	1105	6516
145	1111	6502
146	1118	6487
147	1123	6466
148	1129	6451
149	1136	6438
150	1144	6432
151	1151	6423
152	1157	6407
153	1163	6391
154	1171	6385
155	1179	6378
156	1187	6376
157	1193	6361
158	1200	6349
159	1205	6329
160	1211	6313
161	1218	6305
162	1225	6291
163	1234	6294
164	1242	6287
165	1249	6278
166	1255	6260
167	1264	6261
168	1274	6266
169	1282	6262
170	1288	6248
171	1294	6232
172	1301	6220
173	1307	6205
174	1316	6205
175	1321	6188
176	1328	6174
177	1332	6152
178	1339	6145
179	1347	6136
180	1352	6118
181	1357	6101
182	1363	6085
183	1368	6070
184	1373	6052
185	1379	6036
186	1385	6023
187	1391	6009
188	1396	5991
189	1400	5971
190	1410	5976
191	1417	5965
192	1422	5949
193	1427	5932
194	1433	5918
195	1441	5911
196	1448	5904
197	1459	5911
198	1464	5894
199	1472	5890
200	1478	5877
201	1484	5864
202	1490	5853
203	1497	5841
204	1505	5838
205	1512	5829
206	1522	5832
207	1530	5827
208	1535	5809
209	1543	5806
210	1550	5799
211	1562	5806
212	1569	5799
213	1577	5792
214	1582	5779
215	1590	5774
216	1596	5760
217	1600	5742
218	1607	5731
219	1614	5723
220	1619	5707
221	1626	5699
222	1632	5688
223	1638	5675
224	1643	5662
225	1649	5650
226	1655	5637
227	1660	5621
228	1666	5610
229	1674	5605
230	1681	5596
231	1689	5592
232	1696	5585
233	1705	5583
234	1709	5566
235	1715	5553
236	1720	5540
237	1726	5527
238	1733	5518
239	1741	5513
240	1746	5499
241	1753	5491
242	1760	5482
243	1766	5473
244	1777	5477
245	1788	5480
246	1793	5468
247	1798	5453
248	1806	5448
249	1811	5433
250	1819	5429
251	1825	5417
252	1834	5417
253	1840	5405
254	1845	5391
255	1852	5384
256	1859	5375
257	1867	5369
258	1877	5370
259	1885	5366
260	1890	5353
261	1898	5346
262	1905	5339
263	1910	5326
264	1917	5318
265	1926	5316
266	1934	5310
267	1937	5292
268	1942	5279
269	1949	5271
270	1955	5261
271	1963	5255
272	1971	5249
273	1982	5251
274	1995	5259
275	2000	5248
276	2005	5234
277	2015	5234
278	2019	5219
279	2025	5207
280	2029	5193
281	2035	5181
282	2043	5177
283	2050	5170
284	2057	5161
285	2063	5152
286	2068	5139
287	2074	5129
288	2080	5117
289	2086	5108
290	2091	5096
291	2099	5089
292	2106	5083
293	2113	5074
294	2118	5063
295	2123	5050
296	2129	5040
297	2134	5027
298	2140	5017
299	2145	5007
300	2153	5000
301	2157	4987
302	2163	4976
303	2169	4967
304	2175	4957
305	2179	4943
306	2185	4932
307	2189	4919
308	2195	4908
309	2202	4902
310	2209	4893
311	2214	4882
312	2219	4872
313	2225	4863
314	2231	4852
315	2236	4841
316	2243	4832
317	2248	4822
318	2253	4809
319	2258	4799
320	2263	4787
321	2268	4777
322	2274	4767
323	2279	4755
324	2284	4744
325	2291	4736
326	2296	4726
327	2303	4719
328	2309	4711
329	2315	4701
330	2322	4694
331	2328	4685
332	2334	4676
333	2340	4666
334	2345	4656
335	2352	4648
336	2358	4639
337	2364	4630
338	2369	4619
339	2376	4613
340	2382	4604
341	2387	4594
342	2393	4584
343	2399	4574
344	2405	4566
345	2411	4558
346	2415	4545
347	2420	4535
348	2425	4523
349	2429	4512
350	2435	4503
351	2443	4498
352	2448	4488
353	2455	4480
354	2460	4470
355	2466	4462
356	2472	4452
357	2477	4443
358	2483	4433
359	2488	4424
360	2493	4413
361	2499	4405
362	2507	4399
363	2513	4391
364	2520	4384
365	2527	4377
366	2532	4367
367	2537	4357
368	2543	4350
369	2548	4339
370	2554	4330
371	2559	4321
372	2565	4312
373	2570	4303
374	2578	4297
375	2585	4291
376	2591	4282
377	2596	4272
378	2602	4264
379	2609	4257
380	2615	4249
381	2621	4240
382	2627	4232
383	2634	4225
384	2640	4217
385	2645	4207
386	2649	4196
387	2656	4189
388	2661	4180
389	2667	4172
390	2671	4161
391	2678	4153
392	2685	4147
393	2690	4138
394	2698	4132
395	2705	4126
396	2711	4117
397	2718	4111
398	2723	4102
399	2729	4094
400	2736	4087
401	2741	4078
402	2747	4070
403	2754	4064
404	2760	4055
405	2765	4045
406	2769	4035
407	2774	4026
408	2780	4017
409	2784	4007
410	2791	4000
411	2798	3993
412	2803	3983
413	2809	3976
414	2815	3968
415	2823	3963
416	2829	3956
417	2834	3946
418	2839	3937
419	2845	3929
420	2850	3920
421	2855	3911
422	2861	3903
423	2868	3896
424	2875	3890
425	2881	3882
426	2886	3872
427	2891	3864
428	2896	3855
429	2902	3846
430	2907	3838
431	2913	3830
432	2919	3822
433	2925	3814
434	2930	3805
435	2934	3796
436	2941	3789
437	2948	3782
438	2953	3774
439	2958	3764
440	2963	3757
441	2971	3750
442	2979	3745
443	2985	3738
444	2990	3729
445	2996	3722
446	3000	3712
447	3008	3706
448	3015	3700
449	3022	3693
450	3027	3684
451	3034	3679
452	3040	3671
453	3045	3663
454	3051	3655
455	3058	3648
456	3062	3639
457	3068	3631
458	3075	3624
459	3080	3616
460	3089	3612
461	3093	3602
462	3098	3593
463	3105	3587
464	3111	3579
465	3117	3572
466	3122	3564
467	3127	3555
468	3133	3547
469	3138	3538
470	3142	3529
471	3147	3520
472	3151	3511
473	3155	3501
474	3159	3491
475	3163	3482
476	3169	3474
477	3173	3465
478	3179	3458
479	3184	3449
480	3189	3441
481	3194	3433
482	3198	3423
483	3202	3414
484	3207	3405
485	3211	3397
486	3216	3388
487	3221	3379
488	3226	3371
489	3230	3362
490	3235	3354
491	3240	3345
492	3246	3338
493	3252	3331
494	3257	3323
495	3263	3316
496	3268	3308
497	3272	3299
498	3277	3290
499	3282	3282
500	3287	3273
501	3291	3265
502	3296	3256
503	3301	3248
504	3304	3239
505	3309	3230
506	3314	3222
507	3319	3215
508	3325	3207
509	3330	3200
510	3334	3191
511	3339	3182
512	3344	3174
513	3348	3165
514	3351	3156
515	3355	3147
516	3360	3139
517	3364	3130
518	3369	3122
519	3374	3114
520	3379	3106
521	3383	3098
522	3388	3090
523	3392	3082
524	3396	3073
525	3401	3065
526	3405	3056
527	3410	3049
528	3416	3041
529	3420	3032
530	3425	3025
531	3430	3017
532	3436	3010
533	3441	3003
534	3445	2994
535	3450	2986
536	3454	2978
537	3460	2971
538	3464	2963
539	3467	2954
540	3472	2946
541	3477	2938
542	3481	2930
543	3485	2921
544	3489	2913
545	3494	2905
546	3499	2898
547	3504	2890
548	3510	2883
549	3514	2875
550	3519	2868
551	3525	2860
552	3529	2852
553	3534	2845
554	3539	2838
555	3544	2830
556	3548	2822
557	3553	2815
558	3558	2807
559	3562	2799
560	3567	2791
561	3573	2785
562	3578	2777
563	3583	2770
564	3588	2763
565	3594	2755
566	3599	2748
567	3605	2741
568	3610	2734
569	3613	2726
570	3622	2721
571	3625	2713
572	3629	2704
573	3632	2696
574	3636	2687
575	3641	2680
576	3646	2672
577	3649	2664
578	3653	2656
579	3656	2647
580	3660	2640
581	3664	2631
582	3668	2623
583	3672	2616
584	3676	2608
585	3680	2600
586	3685	2592
587	3688	2584
588	3691	2576
589	3694	2567
590	3698	2559
591	3701	2551
592	3705	2543
593	3708	2534
594	3711	2526
595	3715	2518
596	3719	2510
597	3721	2501
598	3725	2493
599	3728	2485
600	3732	2478
601	3737	2470
602	3741	2463
603	3745	2455
604	3749	2447
605	3752	2439
606	3755	2431
607	3758	2423
608	3762	2415
609	3767	2408
610	3773	2402
